iter,R,phi_center,N,run,mode,cfl
1,4.827294559714269,0.07732885923692746,8,soft_R50_cfl1.0_k2e4,soft,1.0
2,9.211859274137973,0.8882735553629012,256,soft_R50_cfl1.0_k2e4,soft,1.0
3,14.757576085596746,0.9862961103070015,1024,soft_R50_cfl1.0_k2e4,soft,1.0
4,19.658357201847945,1.10416596189575,2048,soft_R50_cfl1.0_k2e4,soft,1.0
5,24.64110263394774,1.1905764140048045,3882,soft_R50_cfl1.0_k2e4,soft,1.0
6,29.110243356941766,1.3027151579981897,4096,soft_R50_cfl1.0_k2e4,soft,1.0
7,34.40354845916018,1.4122484457201108,8192,soft_R50_cfl1.0_k2e4,soft,1.0
8,39.10441969958585,1.625911925414017,8192,soft_R50_cfl1.0_k2e4,soft,1.0
9,43.98269303440679,1.8124409169191307,16294,soft_R50_cfl1.0_k2e4,soft,1.0
10,48.50932977211418,2.003496648032311,16384,soft_R50_cfl1.0_k2e4,soft,1.0
1,4.797307102574905,0.07693472970424295,8,soft_R50_cfl0.5_k2e4,soft,0.5
2,9.885943408569757,0.9586286741717064,256,soft_R50_cfl0.5_k2e4,soft,0.5
3,14.507544525749449,1.008591727316687,1024,soft_R50_cfl0.5_k2e4,soft,0.5
4,19.584212636642683,1.1113106821731105,2048,soft_R50_cfl0.5_k2e4,soft,0.5
5,24.292453325547083,1.2021785071207678,3414,soft_R50_cfl0.5_k2e4,soft,0.5
6,29.40488633653692,1.366785800196726,4096,soft_R50_cfl0.5_k2e4,soft,0.5
7,34.36569197057932,1.4673839299294391,8192,soft_R50_cfl0.5_k2e4,soft,0.5
8,39.03962446573662,1.6726112845732342,8192,soft_R50_cfl0.5_k2e4,soft,0.5
9,44.1203345260169,1.8383712496985087,16345,soft_R50_cfl0.5_k2e4,soft,0.5
10,48.74312917608403,2.131021861692608,16384,soft_R50_cfl0.5_k2e4,soft,0.5
1,4.791596811174807,0.07605026147577487,8,soft_R50_cfl0.25_k2e4,soft,0.25
2,9.86578005162823,0.9432578503891017,256,soft_R50_cfl0.25_k2e4,soft,0.25
3,14.632824692595038,1.0127038048289922,1024,soft_R50_cfl0.25_k2e4,soft,0.25
4,19.40694750460591,1.1168554919758125,2048,soft_R50_cfl0.25_k2e4,soft,0.25
5,24.321464612931845,1.2450434003857638,3650,soft_R50_cfl0.25_k2e4,soft,0.25
6,29.388310341404928,1.349251700749086,4096,soft_R50_cfl0.25_k2e4,soft,0.25
7,34.462153854980635,1.4319929997237024,8192,soft_R50_cfl0.25_k2e4,soft,0.25
8,39.099405744001984,1.7003489765058057,8192,soft_R50_cfl0.25_k2e4,soft,0.25
9,43.8294144272096,1.8878599072168827,16320,soft_R50_cfl0.25_k2e4,soft,0.25
1,4.807226775569407,0.07625291876997857,8,soft_R50_cfl0.1_k2e4,soft,0.1
2,9.774253661595314,0.9351721850668917,256,soft_R50_cfl0.1_k2e4,soft,0.1
3,14.59196681333095,1.0086950711144447,1024,soft_R50_cfl0.1_k2e4,soft,0.1
4,19.539979656891237,1.1027575418809425,2048,soft_R50_cfl0.1_k2e4,soft,0.1
5,24.42113618919028,1.2083283867740267,3838,soft_R50_cfl0.1_k2e4,soft,0.1
6,29.45655782691735,1.371424538108486,4096,soft_R50_cfl0.1_k2e4,soft,0.1
7,34.42539657901924,1.5348521274991966,8192,soft_R50_cfl0.1_k2e4,soft,0.1
1,4.8199004290060525,0.06428448401097527,8,hard_R50_cfl0.5,hard,0.5
2,9.800190899975124,0.8798987580060779,256,hard_R50_cfl0.5,hard,0.5
3,14.730924064939396,0.8891233223092416,1024,hard_R50_cfl0.5,hard,0.5
4,19.15808736991619,0.8869414605253046,1988,hard_R50_cfl0.5,hard,0.5
5,24.372786838093234,0.878984965924389,2048,hard_R50_cfl0.5,hard,0.5
6,29.480163946476143,0.8921191574221804,4096,hard_R50_cfl0.5,hard,0.5
7,34.440442804044714,0.9227458133567047,4097,hard_R50_cfl0.5,hard,0.5
8,39.665309973977585,0.8933829755230162,8192,hard_R50_cfl0.5,hard,0.5
