mode,lam,r,C
hard,-2,0.25,0.999999954888743
hard,-2,0.75,0.6817565219652808
hard,-2,1.25,0.5440534333781053
hard,-2,1.75,0.4101425339140925
hard,-2,2.25,0.3007072020581984
hard,-2,2.75,0.21385073917487055
hard,-2,3.25,0.1571951129461955
hard,-2,3.75,0.10454359932109591
hard,-2,4.25,0.07061421664174343
hard,-2,4.75,0.04435019099032581
hard,-2,5.25,0.030693484299916276
hard,-2,5.75,0.014138622552364819
hard,-2,6.25,0.008169758891952742
hard,-2,6.75,0.0030124299807725015
hard,-2,7.25,-0.0010278875985403116
hard,-2,7.75,-0.005035292417110138
hard,-2,8.25,-0.007927660625574215
hard,-2,8.75,-0.007483946776521137
hard,-2,9.25,-0.011965007594090707
hard,-2,9.75,-0.010269418640210184
hard,-2,10.25,-0.015005965032947302
hard,-2,10.75,-0.01389488650546015
hard,-2,11.25,-0.013000152278230828
hard,-2,11.75,-0.011706973437575508
hard,-2,12.25,-0.010623052637337184
hard,-2,12.75,-0.007982009762504677
hard,-2,13.25,-0.004904235008466142
hard,-2,13.75,-0.0004568093326451743
hard,-2,14.25,0.0043234591949646945
hard,-2,14.75,0.00750205133791599
hard,-2,15.25,0.011359667116284783
hard,-2,15.75,0.013396452109368857
hard,-2,16.25,0.01752421973554052
hard,-2,16.75,0.0168607548143939
hard,-2,17.25,0.018289558337795848
hard,-2,17.75,0.01780413522375304
hard,-2,18.25,0.01808398100858036
hard,-2,18.75,0.01713377799919263
hard,-2,19.25,0.015980521898970524
hard,-2,19.75,0.01606021255257369
hard,-2,20.25,0.011215027801747235
hard,-2,20.75,0.01153535695520918
hard,-2,21.25,0.006419006935851519
hard,-2,21.75,0.0041691205175630915
hard,-2,22.25,0.0021357723804847767
hard,-2,22.75,-0.0006045495939488813
hard,-2,23.25,-0.0025886909963282368
hard,-2,23.75,-0.0031946634160610597
hard,-2,24.25,-0.00515629925589758
hard,-2,24.75,-0.006504169872382635
hard,-3,0.25,0.999999967683796
hard,-3,0.75,0.5358323095773693
hard,-3,1.25,0.42607994819402606
hard,-3,1.75,0.2813637471173614
hard,-3,2.25,0.19160145583344745
hard,-3,2.75,0.11581157152941957
hard,-3,3.25,0.07528717709725563
hard,-3,3.75,0.0358689706677992
hard,-3,4.25,0.007804859614467381
hard,-3,4.75,-0.009294188480115107
hard,-3,5.25,-0.012836422365579329
hard,-3,5.75,-0.017995492462531945
hard,-3,6.25,-0.0211523867018242
hard,-3,6.75,-0.017923811895276334
hard,-3,7.25,-0.017560696240814227
hard,-3,7.75,-0.015394793916893827
hard,-3,8.25,-0.012002589735664329
hard,-3,8.75,-0.010021594778380301
hard,-3,9.25,-0.009076420228787935
hard,-3,9.75,-0.007252848340853755
hard,-3,10.25,-0.005373311425955696
hard,-3,10.75,-0.007167189193501125
hard,-3,11.25,-0.008330773055012827
hard,-3,11.75,-0.009718558529902931
hard,-3,12.25,-0.011332456546377849
hard,-3,12.75,-0.011566777768369013
hard,-3,13.25,-0.010320757368074883
hard,-3,13.75,-0.00912893806651384
hard,-3,14.25,-0.00792911295826683
hard,-3,14.75,-0.006766983684815591
hard,-3,15.25,-0.0053163878421769286
hard,-3,15.75,-0.005627779499579106
hard,-3,16.25,-0.0037848094623030314
hard,-3,16.75,-0.0035848061770176257
hard,-3,17.25,-0.004643170090738565
hard,-3,17.75,-0.008140520740614077
hard,-3,18.25,-0.004876092120971557
hard,-3,18.75,-0.005678734673800752
hard,-3,19.25,-0.0028122698076300232
hard,-3,19.75,-0.0008251156378907561
hard,-3,20.25,0.00038239478587768724
hard,-3,20.75,0.0014568230454927548
hard,-3,21.25,0.001192244064035451
hard,-3,21.75,0.00019687463336614348
hard,-3,22.25,-0.001170107102266776
hard,-3,22.75,-0.0005997727727829755
hard,-3,23.25,-0.004140768261959212
hard,-3,23.75,-0.0024674067325463405
hard,-3,24.25,-0.005935741895887622
hard,-3,24.75,-0.001780914637671512
hard,-4,0.25,0.9999999763262443
hard,-4,0.75,0.6082250540595401
hard,-4,1.25,0.3322990429521792
hard,-4,1.75,0.25586739944876996
hard,-4,2.25,0.15619415373608728
hard,-4,2.75,0.08554167924754451
hard,-4,3.25,0.0616085366383227
hard,-4,3.75,0.02281986306871731
hard,-4,4.25,0.00413826748227712
hard,-4,4.75,-0.009762720931763667
hard,-4,5.25,-0.01944748495693343
hard,-4,5.75,-0.022723084593832335
hard,-4,6.25,-0.021869419857943717
hard,-4,6.75,-0.0198567151226798
hard,-4,7.25,-0.017228782600267084
hard,-4,7.75,-0.0145990552485262
hard,-4,8.25,-0.009321650270971418
hard,-4,8.75,-0.007502122887966964
hard,-4,9.25,-0.00653507811476219
hard,-4,9.75,-0.00557436044008755
hard,-4,10.25,-0.004236445712606758
hard,-4,10.75,-0.0056802289034223715
hard,-4,11.25,-0.006755348110836532
hard,-4,11.75,-0.007177824541608623
hard,-4,12.25,-0.007594818239983765
hard,-4,12.75,-0.009264495538947341
hard,-4,13.25,-0.00805426056783659
hard,-4,13.75,-0.006743881638000905
hard,-4,14.25,-0.007631791033729223
hard,-4,14.75,-0.006863948517690381
hard,-4,15.25,-0.005971840817698387
hard,-4,15.75,-0.004148806966699626
hard,-4,16.25,-0.0017669208996597702
hard,-4,16.75,0.00022107426235956368
hard,-4,17.25,0.004850023696700469
hard,-4,17.75,0.005744617338456597
hard,-4,18.25,0.007890287542174862
hard,-4,18.75,0.008124710771979201
hard,-4,19.25,0.009332746877460505
hard,-4,19.75,0.010912434112015553
hard,-4,20.25,0.008143359383282117
hard,-4,20.75,0.006272180900263376
hard,-4,21.25,0.005767691601312147
hard,-4,21.75,0.005810853340964137
hard,-4,22.25,0.001662775470550151
hard,-4,22.75,0.000981928034872687
hard,-4,23.25,-0.0009379623091421178
hard,-4,23.75,-0.002635414370378943
hard,-4,24.25,-0.0014782947395599506
hard,-4,24.75,-0.002398850263977938
soft,-2,0.25,0.9976096313555046
soft,-2,0.75,0.6703347673519628
soft,-2,1.25,0.5251245105069308
soft,-2,1.75,0.37541484393139984
soft,-2,2.25,0.2584525344094967
soft,-2,2.75,0.16441739038137715
soft,-2,3.25,0.11261707205156957
soft,-2,3.75,0.050177836923929374
soft,-2,4.25,0.02279157345091648
soft,-2,4.75,-0.0012911097173137372
soft,-2,5.25,-0.013197013765240176
soft,-2,5.75,-0.020036665080578844
soft,-2,6.25,-0.01995381313795709
soft,-2,6.75,-0.020715642199113173
soft,-2,7.25,-0.015635938205164016
soft,-2,7.75,-0.01097032278662804
soft,-2,8.25,-0.0036723633593376465
soft,-2,8.75,0.0025893794945109315
soft,-2,9.25,0.011580457586792069
soft,-2,9.75,0.017377798009381225
soft,-2,10.25,0.023865521583342098
soft,-2,10.75,0.027785646901334737
soft,-2,11.25,0.026961896267395726
soft,-2,11.75,0.02695631305876317
soft,-2,12.25,0.02523262943486233
soft,-2,12.75,0.024479510726801306
soft,-2,13.25,0.019925553337050355
soft,-2,13.75,0.01884847991192083
soft,-2,14.25,0.019377809642277703
soft,-2,14.75,0.016211249395821633
soft,-2,15.25,0.016758686781630828
soft,-2,15.75,0.012763885025634419
soft,-2,16.25,0.012122446961955248
soft,-2,16.75,0.010656919226308506
soft,-2,17.25,0.010620217597727835
soft,-2,17.75,0.008813661508575278
soft,-2,18.25,0.009046969575212905
soft,-2,18.75,0.0075728694612349256
soft,-2,19.25,0.005606344422660464
soft,-2,19.75,0.007062722773468891
soft,-2,20.25,0.006859520238550521
soft,-2,20.75,0.006823127328477893
soft,-2,21.25,0.004021195461952457
soft,-2,21.75,0.00754523389988163
soft,-2,22.25,0.007873416832468614
soft,-2,22.75,0.007493777385008146
soft,-2,23.25,0.006102973647149752
soft,-2,23.75,0.003300432872317811
soft,-2,24.25,0.0007661886033250702
soft,-2,24.75,0.00027279708652860456
soft,-3,0.25,0.9966089575091419
soft,-3,0.75,0.5440479240593584
