
Minutes: 0.00, Particles: 2
Minutes: 0.08, Particles: 2
Minutes: 0.17, Particles: 2
Minutes: 0.25, Particles: 2
Minutes: 0.33, Particles: 2
Minutes: 0.42, Particles: 2
Minutes: 0.50, Particles: 2
Minutes: 0.58, Particles: 2
Minutes: 0.67, Particles: 2
Minutes: 0.75, Particles: 2
Minutes: 0.83, Particles: 2
Minutes: 0.92, Particles: 2
Minutes: 1.00, Particles: 2
Minutes: 1.08, Particles: 2
Minutes: 1.17, Particles: 2
Minutes: 1.25, Particles: 2
Minutes: 1.33, Particles: 2
Minutes: 1.42, Particles: 2
Minutes: 1.50, Particles: 2
Minutes: 1.58, Particles: 2
Minutes: 1.67, Particles: 2
Minutes: 1.75, Particles: 2
Minutes: 1.83, Particles: 2
Minutes: 1.92, Particles: 2
Minutes: 2.00, Particles: 2
Minutes: 2.08, Particles: 2
Minutes: 2.17, Particles: 2
Minutes: 2.25, Particles: 2
Minutes: 2.33, Particles: 2
Minutes: 2.42, Particles: 2
Minutes: 2.50, Particles: 2
Minutes: 2.58, Particles: 2
Minutes: 2.67, Particles: 2
Minutes: 2.75, Particles: 2
Minutes: 2.83, Particles: 2
Minutes: 2.92, Particles: 2
Minutes: 3.00, Particles: 2
Minutes: 3.08, Particles: 2
Minutes: 3.17, Particles: 2
Minutes: 3.25, Particles: 2
Minutes: 3.33, Particles: 2
Minutes: 3.42, Particles: 2
Minutes: 3.50, Particles: 2
Minutes: 3.58, Particles: 2
Minutes: 3.67, Particles: 2
Minutes: 3.75, Particles: 2
Minutes: 3.83, Particles: 2
Minutes: 3.92, Particles: 2
Minutes: 4.00, Particles: 2
Minutes: 4.08, Particles: 2
Minutes: 4.17, Particles: 2
Minutes: 4.25, Particles: 2
Minutes: 4.33, Particles: 2
Minutes: 4.42, Particles: 2
Minutes: 4.50, Particles: 2
Minutes: 4.58, Particles: 2
Minutes: 4.67, Particles: 2
Minutes: 4.75, Particles: 2
Minutes: 4.83, Particles: 2
Minutes: 4.92, Particles: 2
Minutes: 5.00, Particles: 2
Minutes: 5.08, Particles: 2
Minutes: 5.17, Particles: 2
Minutes: 5.25, Particles: 2
Minutes: 5.33, Particles: 2
Minutes: 5.42, Particles: 2
Minutes: 5.50, Particles: 2
Minutes: 5.58, Particles: 2
Minutes: 5.67, Particles: 2
Minutes: 5.75, Particles: 2
Minutes: 5.83, Particles: 2
Minutes: 5.92, Particles: 2
Minutes: 6.00, Particles: 2
Minutes: 6.08, Particles: 2
Minutes: 6.17, Particles: 2
Minutes: 6.25, Particles: 2
Minutes: 6.33, Particles: 2
Minutes: 6.42, Particles: 2
Minutes: 6.50, Particles: 2
Minutes: 6.58, Particles: 2
Minutes: 6.67, Particles: 2
Minutes: 6.75, Particles: 2
Minutes: 6.83, Particles: 2
Minutes: 6.92, Particles: 2
Minutes: 7.00, Particles: 2
Minutes: 7.08, Particles: 2
Minutes: 7.17, Particles: 2
Minutes: 7.25, Particles: 2
Minutes: 7.33, Particles: 2
Minutes: 7.42, Particles: 2
Minutes: 7.50, Particles: 2
Minutes: 7.58, Particles: 2
Minutes: 7.67, Particles: 2
Minutes: 7.75, Particles: 2
Minutes: 7.83, Particles: 2
Minutes: 7.92, Particles: 2
Minutes: 8.00, Particles: 2
Minutes: 8.08, Particles: 2
Minutes: 8.17, Particles: 2
Minutes: 8.25, Particles: 2
Minutes: 8.33, Particles: 2
Minutes: 8.42, Particles: 2
Minutes: 8.50, Particles: 2
Minutes: 8.58, Particles: 2
Minutes: 8.67, Particles: 2
Minutes: 8.75, Particles: 2
Minutes: 8.83, Particles: 2
Minutes: 8.92, Particles: 2
Minutes: 9.00, Particles: 2
Minutes: 9.08, Particles: 2
Minutes: 9.17, Particles: 2
Minutes: 9.25, Particles: 2
Minutes: 9.33, Particles: 2
Minutes: 9.42, Particles: 2
Minutes: 9.50, Particles: 2
Minutes: 9.58, Particles: 2
Minutes: 9.67, Particles: 2
Minutes: 9.75, Particles: 2
Minutes: 9.83, Particles: 2
Minutes: 9.92, Particles: 2
Minutes: 10.00, Particles: 2
Minutes: 10.08, Particles: 2
Minutes: 10.17, Particles: 2
Minutes: 10.25, Particles: 2
Minutes: 10.33, Particles: 2
Minutes: 10.42, Particles: 2
Minutes: 10.50, Particles: 2
Minutes: 10.58, Particles: 2
Minutes: 10.67, Particles: 2
Minutes: 10.75, Particles: 2
Minutes: 10.83, Particles: 2
Minutes: 10.92, Particles: 2
Minutes: 11.00, Particles: 2
Minutes: 11.08, Particles: 2
Minutes: 11.17, Particles: 2
Minutes: 11.25, Particles: 2
Minutes: 11.33, Particles: 2
Minutes: 11.42, Particles: 2
Minutes: 11.50, Particles: 2
Minutes: 11.58, Particles: 2
Minutes: 11.67, Particles: 2
Minutes: 11.75, Particles: 2
Minutes: 11.83, Particles: 2
Minutes: 11.92, Particles: 2
Minutes: 12.00, Particles: 2
Minutes: 12.08, Particles: 2
Minutes: 12.17, Particles: 2
Minutes: 12.25, Particles: 2
Minutes: 12.33, Particles: 2
Minutes: 12.42, Particles: 2
Minutes: 12.50, Particles: 2
Minutes: 12.58, Particles: 2
Minutes: 12.67, Particles: 2
Minutes: 12.75, Particles: 2
Minutes: 12.83, Particles: 2
Minutes: 12.92, Particles: 2
Minutes: 13.00, Particles: 2
Minutes: 13.08, Particles: 2
Minutes: 13.17, Particles: 2
Minutes: 13.25, Particles: 2
Minutes: 13.33, Particles: 2
Minutes: 13.42, Particles: 2
Minutes: 13.50, Particles: 2
Minutes: 13.58, Particles: 2
Minutes: 13.67, Particles: 2
Minutes: 13.75, Particles: 2
Minutes: 13.83, Particles: 2
Minutes: 13.92, Particles: 2
Minutes: 14.00, Particles: 2
Minutes: 14.08, Particles: 2
Minutes: 14.17, Particles: 2
Minutes: 14.25, Particles: 2
Minutes: 14.33, Particles: 2
Minutes: 14.42, Particles: 2
Minutes: 14.50, Particles: 2
Minutes: 14.58, Particles: 2
Minutes: 14.67, Particles: 2
Minutes: 14.75, Particles: 2
Minutes: 14.83, Particles: 2
Minutes: 14.92, Particles: 2
Minutes: 15.00, Particles: 2
Minutes: 15.08, Particles: 2
Minutes: 15.17, Particles: 2
Minutes: 15.25, Particles: 2
Minutes: 15.33, Particles: 2
Minutes: 15.42, Particles: 2
Minutes: 15.50, Particles: 2
Minutes: 15.58, Particles: 2
Minutes: 15.67, Particles: 2
Minutes: 15.75, Particles: 2
Minutes: 15.83, Particles: 2
Minutes: 15.92, Particles: 2
Minutes: 16.00, Particles: 2
Minutes: 16.08, Particles: 2
Minutes: 16.17, Particles: 2
Minutes: 16.25, Particles: 2
Minutes: 16.33, Particles: 2
Minutes: 16.42, Particles: 2
Minutes: 16.50, Particles: 2
Minutes: 16.58, Particles: 2
Minutes: 16.67, Particles: 2
Minutes: 16.75, Particles: 2
Minutes: 16.83, Particles: 2
Minutes: 16.92, Particles: 2
Minutes: 17.00, Particles: 2
Minutes: 17.08, Particles: 2
Minutes: 17.17, Particles: 2
Minutes: 17.25, Particles: 2
Minutes: 17.33, Particles: 2
Minutes: 17.42, Particles: 2
Minutes: 17.50, Particles: 2
Minutes: 17.58, Particles: 2
Minutes: 17.67, Particles: 2
Minutes: 17.75, Particles: 2
Minutes: 17.83, Particles: 2
Minutes: 17.92, Particles: 2
Minutes: 18.00, Particles: 2
Minutes: 18.08, Particles: 2
Minutes: 18.17, Particles: 2
Minutes: 18.25, Particles: 2
Minutes: 18.33, Particles: 2
Minutes: 18.42, Particles: 2
Minutes: 18.50, Particles: 2
Minutes: 18.58, Particles: 2
Minutes: 18.67, Particles: 2
Minutes: 18.75, Particles: 2
Minutes: 18.83, Particles: 2
Minutes: 18.92, Particles: 2
Minutes: 19.00, Particles: 2
Minutes: 19.08, Particles: 2
Minutes: 19.17, Particles: 2
Minutes: 19.25, Particles: 2
Minutes: 19.33, Particles: 2
Minutes: 19.42, Particles: 2
Minutes: 19.50, Particles: 2
Minutes: 19.58, Particles: 2
Minutes: 19.67, Particles: 2
Minutes: 19.75, Particles: 2
Minutes: 19.83, Particles: 2
Minutes: 19.92, Particles: 2
Minutes: 20.00, Particles: 2
Minutes: 20.08, Particles: 2
Minutes: 20.17, Particles: 2
Minutes: 20.25, Particles: 2
Minutes: 20.33, Particles: 2
Minutes: 20.42, Particles: 2
Minutes: 20.50, Particles: 2
Minutes: 20.58, Particles: 2
Minutes: 20.67, Particles: 2
Minutes: 20.75, Particles: 2
Minutes: 20.83, Particles: 2
Minutes: 20.92, Particles: 2
Minutes: 21.00, Particles: 2
Minutes: 21.08, Particles: 2
Minutes: 21.17, Particles: 2
Minutes: 21.25, Particles: 2
Minutes: 21.33, Particles: 2
Minutes: 21.42, Particles: 2
Minutes: 21.50, Particles: 2
Minutes: 21.58, Particles: 2
Minutes: 21.67, Particles: 2
Minutes: 21.75, Particles: 2
Minutes: 21.83, Particles: 2
Minutes: 21.92, Particles: 2
Minutes: 22.00, Particles: 2
Minutes: 22.08, Particles: 2
Minutes: 22.17, Particles: 2
Minutes: 22.25, Particles: 2
Minutes: 22.33, Particles: 2
Minutes: 22.42, Particles: 2
Minutes: 22.50, Particles: 2
Minutes: 22.58, Particles: 2
Minutes: 22.67, Particles: 2
Minutes: 22.75, Particles: 2
Minutes: 22.83, Particles: 2
Minutes: 22.92, Particles: 2
Minutes: 23.00, Particles: 2
Minutes: 23.08, Particles: 2
Minutes: 23.17, Particles: 2
Minutes: 23.25, Particles: 2
Minutes: 23.33, Particles: 2
Minutes: 23.42, Particles: 2
Minutes: 23.50, Particles: 2
Minutes: 23.58, Particles: 2
Minutes: 23.67, Particles: 2
Minutes: 23.75, Particles: 2
Minutes: 23.83, Particles: 2
Minutes: 23.92, Particles: 2
Minutes: 24.00, Particles: 2
Minutes: 24.08, Particles: 2
Minutes: 24.17, Particles: 2
Minutes: 24.25, Particles: 2
Minutes: 24.33, Particles: 2
Minutes: 24.42, Particles: 2
Minutes: 24.50, Particles: 2
Minutes: 24.58, Particles: 2
Minutes: 24.67, Particles: 2
Minutes: 24.75, Particles: 2
Minutes: 24.83, Particles: 2
Minutes: 24.92, Particles: 2
Minutes: 25.00, Particles: 2
Minutes: 25.08, Particles: 2
Minutes: 25.17, Particles: 2
Minutes: 25.25, Particles: 2
Minutes: 25.33, Particles: 2
Minutes: 25.42, Particles: 2
Minutes: 25.50, Particles: 2
Minutes: 25.58, Particles: 2
Minutes: 25.67, Particles: 2
Minutes: 25.75, Particles: 2
Minutes: 25.83, Particles: 2
Minutes: 25.92, Particles: 2
Minutes: 26.00, Particles: 2
Minutes: 26.08, Particles: 2
Minutes: 26.17, Particles: 2
Minutes: 26.25, Particles: 2
Minutes: 26.33, Particles: 2
Minutes: 26.42, Particles: 2
Minutes: 26.50, Particles: 2
Minutes: 26.58, Particles: 2
Minutes: 26.67, Particles: 2
Minutes: 26.75, Particles: 2
Minutes: 26.83, Particles: 2
Minutes: 26.92, Particles: 2
Minutes: 27.00, Particles: 2
Minutes: 27.08, Particles: 2
Minutes: 27.17, Particles: 2
Minutes: 27.25, Particles: 2
Minutes: 27.33, Particles: 2
Minutes: 27.42, Particles: 2
Minutes: 27.50, Particles: 2
Minutes: 27.58, Particles: 2
Minutes: 27.67, Particles: 2
Minutes: 27.75, Particles: 2
Minutes: 27.83, Particles: 2
Minutes: 27.92, Particles: 2
Minutes: 28.00, Particles: 2
Minutes: 28.08, Particles: 2
Minutes: 28.17, Particles: 2
Minutes: 28.25, Particles: 2
Minutes: 28.33, Particles: 2
Minutes: 28.42, Particles: 2
Minutes: 28.50, Particles: 2
Minutes: 28.58, Particles: 2
Minutes: 28.67, Particles: 2
Minutes: 28.75, Particles: 2
Minutes: 28.83, Particles: 2
Minutes: 28.92, Particles: 2
Minutes: 29.00, Particles: 2
Minutes: 29.08, Particles: 2
Minutes: 29.17, Particles: 2
Minutes: 29.25, Particles: 2
Minutes: 29.33, Particles: 2
Minutes: 29.42, Particles: 2
Minutes: 29.50, Particles: 2
Minutes: 29.58, Particles: 2
Minutes: 29.67, Particles: 2
Minutes: 29.75, Particles: 2
Minutes: 29.83, Particles: 2
Minutes: 29.92, Particles: 2
Minutes: 30.00, Particles: 2
Minutes: 30.08, Particles: 2
Minutes: 30.17, Particles: 2
Minutes: 30.25, Particles: 2
Minutes: 30.33, Particles: 2
Minutes: 30.42, Particles: 2
Minutes: 30.50, Particles: 2
Minutes: 30.58, Particles: 2
Minutes: 30.67, Particles: 2
Minutes: 30.75, Particles: 2
Minutes: 30.83, Particles: 2
Minutes: 30.92, Particles: 2
Minutes: 31.00, Particles: 2
Minutes: 31.08, Particles: 2
Minutes: 31.17, Particles: 2
Minutes: 31.25, Particles: 2
Minutes: 31.33, Particles: 2
Minutes: 31.42, Particles: 2
Minutes: 31.50, Particles: 2
Minutes: 31.58, Particles: 2
Minutes: 31.67, Particles: 2
Minutes: 31.75, Particles: 2
Minutes: 31.83, Particles: 2
Minutes: 31.92, Particles: 2
Minutes: 32.00, Particles: 2
Minutes: 32.08, Particles: 2
Minutes: 32.17, Particles: 2
Minutes: 32.25, Particles: 2
Minutes: 32.33, Particles: 2
Minutes: 32.42, Particles: 2
Minutes: 32.50, Particles: 2
Minutes: 32.58, Particles: 2
Minutes: 32.67, Particles: 2
Minutes: 32.75, Particles: 2
Minutes: 32.83, Particles: 2
Minutes: 32.92, Particles: 2
Minutes: 33.00, Particles: 2
Minutes: 33.08, Particles: 2
Minutes: 33.17, Particles: 2
Minutes: 33.25, Particles: 2
Minutes: 33.33, Particles: 2
Minutes: 33.42, Particles: 2
Minutes: 33.50, Particles: 2
Minutes: 33.58, Particles: 2
Minutes: 33.67, Particles: 2
Minutes: 33.75, Particles: 2
Minutes: 33.83, Particles: 2
Minutes: 33.92, Particles: 2
Minutes: 34.00, Particles: 2
Minutes: 34.08, Particles: 2
Minutes: 34.17, Particles: 2
Minutes: 34.25, Particles: 2
Minutes: 34.33, Particles: 2
Minutes: 34.42, Particles: 2
Minutes: 34.50, Particles: 2
Minutes: 34.58, Particles: 2
Minutes: 34.67, Particles: 2
Minutes: 34.75, Particles: 2
Minutes: 34.83, Particles: 2
Minutes: 34.92, Particles: 2
Minutes: 35.00, Particles: 2
Minutes: 35.08, Particles: 2
Minutes: 35.17, Particles: 2
Minutes: 35.25, Particles: 2
Minutes: 35.33, Particles: 2
Minutes: 35.42, Particles: 2
Minutes: 35.50, Particles: 2
Minutes: 35.58, Particles: 2
Minutes: 35.67, Particles: 2
